Phone Name,Rates,Images,Product Url,Trade Offer
iPhone 14,$20 /mo.,https://images.ctfassets.net/szuukvy7owq5/3TRq64sSRux5rHiOLi5vcZ/fb4ec4a0e3c1599334c29974d64d0461/shop_devices_iphone14_0000s_0004_iPhone_14_Blue_Pure_Back_iPhone_14_Blue_Pure_Front_2-up_Screen__USEN.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-14?sku=6292581374739&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13 Pro,$20 /mo.,https://images.ctfassets.net/szuukvy7owq5/3VM3dMMwKywInyUprXKAcR/27fd89feb72632fe136708bbffbbaf35/952F1ABE-D2B6-4C9A-ABED-62D967BC78F2.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13-Pro?sku=6292581374678&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13 Pro Max,$25 /mo.,https://images.ctfassets.net/szuukvy7owq5/6PBo2AQ3BQ2hmNxgLYeVBL/149cb2e199a0db51574f826c7874cac3/pro_3.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13-Pro-Max?sku=6292581374685&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
TCL 502 LTE,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/nDUjFiaKZcXRxId3KOp5P/6129a1bc6c67fa64820a901e2b9975d2/Rio_TCL_502_CAN_Prime_Black_Front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/TCL/TCL-502-LTE?sku=889063527460&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)%20Promo&deviceOption=MyTab,
Blade A7P,$6 /mo.,https://images.ctfassets.net/szuukvy7owq5/kSTGmrXZylGfaPNa01xLA/e53bab568fa78afc4d0fc8aed932cd26/1DX_5638.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/Blade-A7P?sku=885913109039&planSku=Nationwide%204G%204GB%20Promo&deviceOption=MyTab,
ZTE Cymbal 2 (2022),$3 /mo.,https://images.ctfassets.net/szuukvy7owq5/2ZiF3PspbYx0ESVixsQhpX/f2d8536daad31440d963c57bcf99934d/ZTECymbal-Front__1_.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/ZTE-Cymbal-2-(2022)?sku=885913109503&planSku=Nationwide%204G%201GB&deviceOption=MyTab,
Samsung Tab A9+,$16.67 /mo.,https://images.ctfassets.net/szuukvy7owq5/6J9f455fDkOFo93sbO20Gz/ae98109306b640c1fa493505c676c7b4/galaxytab_a9plus_graphite_front_back.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-Tab-A9+?sku=887276815886&planSku=Tablet%204G%205GB&deviceOption=MyTab,
Grand X View 4,$5 /mo.,https://images.ctfassets.net/szuukvy7owq5/5IonTNg8ZLWhIfZek5K9tg/88e96ff6f02d4ac81541bca1d43e849e/Grand-X-View-4_00130.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/Grand-X-View-4?sku=885913108568&planSku=Tablet%205GB&deviceOption=MyTab,
Watch Ultra 2,$47 /mo.,https://images.ctfassets.net/szuukvy7owq5/7DpmxaTLcWEWaPkhAHu7U7/17c316cda062b0d7cc97b450df8087a5/apple_watch_ultra_2_ocean_blue_band_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/Watch-Ultra-2?sku=194253826231&planSku=Apple%20Watch%204G%205GB&deviceOption=MyTab,
Watch Series 9,$30.63 /mo.,https://images.ctfassets.net/szuukvy7owq5/22N4evMoNdZKwc5KzIhD47/212050c54b96483c313a037aa3fb1674/apple_watch_series_9_aluminum_41mm_starlight_SB_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/Watch-Series-9?sku=195949021459&planSku=Apple%20Watch%204G%205GB&deviceOption=MyTab,
,,,,
Plan Name,Prices,Details,,
Canada-U.S.-Mexico,$39 per month,50GB,,
Canada-U.S.-Mexico + Roam Beyond,$45 per month,75GB,,
Canada-U.S.-Mexico + Roam Beyond,$50 per month,100GB,,
Canada-U.S.-Mexico,$45 per month,15GB,,
Canada-U.S.-Mexico,$65 per month,60GB,,
