Mobile Name,Mobile Plan Price,Mobile Full Price, Mobile Image URL
TCL Flip,$4.13 /mo.,$111.00,https://images.ctfassets.net/t00ajdlq0g9p/7UWgXQ9ErUmvWP9sDJR3R/acc51d6f9a6d9ba6c9c353d91535caaf/TCL-Flip-front.png?h=302&w=403&fm=webp&q=100
moto g play (2023),$3.00 /mo.,$249.99,https://images.ctfassets.net/t00ajdlq0g9p/3TjbsbVeEVNTo6CW4ll8cJ/cd2621d4b18e6e493d035d845c49c6dc/motorola-g-play-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy S22 Ultra,$68.75 /mo.,"$2,038.00",https://images.ctfassets.net/t00ajdlq0g9p/6mr7iqGS4S5K3t4sImIvP4/ecb52ea432715bb39da97c820b352503/galaxy-s22-ultra-black-front.png?h=302&w=403&fm=webp&q=100
iPhone 14,$43.00 /mo.,"$1,285.00",https://images.ctfassets.net/t00ajdlq0g9p/3WhfwrE47HJ0oljoL6kqIm/b36af9654a429f5ee9d4f06188a7b307/apple-14-midnight-pos1.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy A14 5G,$13.75 /mo.,$386.00,https://images.ctfassets.net/t00ajdlq0g9p/6C0KgRUBtUoCxPNIE2xcxe/e59a2f36bef1a6cc4c2fadadc4211a2e/galaxy-a14-front.png?h=302&w=403&fm=webp&q=100
iPhone 13 Pro,$29.00 /mo.,$950.00,https://images.ctfassets.net/t00ajdlq0g9p/5NjSeIZQjuvZVs6AYmK57L/e49655af795dedd33899ebc206be4e0b/iPhone13-pro-green-pos1.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy S22+,$58.34 /mo.,"$1,729.00",https://images.ctfassets.net/t00ajdlq0g9p/4f7ogq7UyJ42U5tOw4fLkK/e3bc7f42a964092fc6568f04bde0384e/galaxy-s22_-black-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy S22,$5.00 /mo.,$915.00,https://images.ctfassets.net/t00ajdlq0g9p/2pXPr1quAc0R0Vg0LGFVRC/c1b8668ee33d737a286691abde6d6601/galaxy-s22-white-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy S22 Ultra,$40.00 /mo.,"$1,100.00",https://images.ctfassets.net/t00ajdlq0g9p/1yQgCea6uacrgtmebnTpYW/086e1ce25d25ef8240631634b29f7b25/galaxy-s22-ultra-white-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy Z Fold4,$94.59 /mo.,"$2,803.00",https://images.ctfassets.net/t00ajdlq0g9p/2naanS0jXWT6yZ4vGUlX56/3eecb7b3f400f78e2619ec8f70d155b6/samsung-z-fold-black-angle.png?h=302&w=403&fm=webp&q=100
iPhone SE,$24.80 /mo.,$595.08,https://images.ctfassets.net/t00ajdlq0g9p/QcyKnkR7sGYwCYIG4ynOp/2a4738351de561d9a564b547c93d08c1/iPhone-SE3-midnight-pos1.png?h=302&w=403&fm=webp&q=100
